country,ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
USA,NVDA,31/12/20,131.2280167,131.3728545,129.0153149,130.4138641,19242400,0,0
USA,NVDA,4/1/21,130.9058429,136.3826239,129.4898254,130.9982452,56064000,0,0
USA,NVDA,5/1/21,130.8608924,134.2948077,130.7335229,133.9077148,32276000,0,0
USA,NVDA,6/1/21,132.0871118,132.311868,125.7287442,126.013443,58042400,0,0
USA,NVDA,7/1/21,129.5397841,133.6379995,128.7306312,133.3008575,46148000,0,0
USA,NVDA,8/1/21,133.4856629,134.0700596,130.284003,132.6290588,29252800,0,0
USA,NVDA,11/1/21,134.0475702,139.4644163,133.4856568,136.0729523,51834400,0,0
USA,NVDA,12/1/21,137.3815923,137.4015757,133.3108444,134.7068939,29147600,0,0
USA,NVDA,13/1/21,134.7593008,136.1078989,133.7104081,135.1763763,21002800,0,0
USA,NVDA,14/1/21,135.608427,135.8556664,131.6675339,131.8648376,28312000,0,0
USA,NVDA,15/1/21,132.1420463,133.1135357,128.3510058,128.4608917,27778000,0,0
USA,NVDA,19/1/21,130.0267815,130.8034671,128.3060739,130.116684,22618800,0,0
USA,NVDA,20/1/21,130.9807526,134.1649284,130.4313383,133.5181122,25857200,0,0
USA,NVDA,21/1/21,134.0450573,139.8464959,132.3917845,138.5303802,33778000,0,0
USA,NVDA,22/1/21,137.2566864,138.273127,136.1303752,136.9819794,24682000,0,0
USA,NVDA,25/1/21,137.6737851,138.1407963,132.2269717,136.3901215,25111200,0,0
USA,NVDA,26/1/21,135.6633563,136.3051881,133.7353765,134.2123718,16398000,0,0
USA,NVDA,27/1/21,132.1620424,132.18951,127.8040885,129.0428009,37127200,0,0
USA,NVDA,28/1/21,129.8269717,133.2584025,129.4698463,130.3739014,22831600,0,0
USA,NVDA,29/1/21,130.6136588,133.2084539,128.9803692,129.7620544,27155200,0,0
USA,NVDA,1/2/21,130.3963712,132.569106,128.8929359,132.2319489,21720400,0,0
USA,NVDA,2/2/21,133.8477931,135.5784848,132.7164667,135.4261475,22044000,0,0
USA,NVDA,3/2/21,136.217787,139.1722068,135.024026,135.1638794,24540800,0,0
USA,NVDA,4/2/21,135.1689005,136.5924176,133.2384205,136.5000153,20134000,0,0
USA,NVDA,5/2/21,137.1068791,137.2292489,135.3162525,135.76828,16915200,0,0
USA,NVDA,8/2/21,137.1293528,144.5865643,137.1293528,144.2369232,43462400,0,0
USA,NVDA,9/2/21,143.2579657,145.6804401,142.0767036,142.4837799,28756000,0,0
USA,NVDA,10/2/21,144.481685,148.8945741,143.2654405,147.4885406,48535200,0,0
USA,NVDA,11/2/21,149.646284,152.5632371,149.0943547,152.348465,45082800,0,0
USA,NVDA,12/2/21,150.3430534,152.7530436,147.5959212,149.4564819,37475600,0,0
USA,NVDA,16/2/21,150.4854094,153.5646992,149.344099,153.1426392,32196000,0,0
USA,NVDA,17/2/21,151.5518175,152.076264,147.6458908,148.9045715,27475600,0,0
USA,NVDA,18/2/21,147.1363883,148.5773889,145.5980011,148.1353455,23386800,0,0
USA,NVDA,19/2/21,150.0883183,151.6117371,148.3126755,149.1093445,27172400,0,0
USA,NVDA,22/2/21,147.5934242,151.1746924,143.1006167,143.4077911,32588400,0,0
USA,NVDA,23/2/21,140.6057223,142.2390118,133.7553753,141.272522,39178000,0,0
USA,NVDA,24/2/21,141.0802176,144.9162247,137.4165464,144.8388062,44832000,0,0
USA,NVDA,25/2/21,140.3085268,143.5975889,132.024679,132.9362183,82443600,0,0
USA,NVDA,26/2/21,137.381577,138.4005176,133.4706664,137.0019836,50093200,0,0
USA,NVDA,1/3/21,138.6053051,139.1047837,135.3911617,138.2731476,35318400,0,0
USA,NVDA,2/3/21,138.8550501,139.0598382,133.8203126,133.922699,26411600,0,0
USA,NVDA,3/3/21,134.1224702,134.3747093,127.8540207,127.9139557,37759200,0,0
USA,NVDA,4/3/21,127.8740202,129.6146958,120.7114914,123.5735016,57334400,0,0
USA,NVDA,5/3/21,125.3691256,125.3691256,116.6707094,124.4850464,54284000,0,0
USA,NVDA,8/3/21,124.370154,124.5824339,115.5443693,115.8115921,54311200,0,0
USA,NVDA,9/3/21,121.2178255,126.079435,120.508322,125.1151047,52182400,0.04,0
USA,NVDA,10/3/21,128.3153641,129.7093946,124.4880359,124.5954666,38437600,0,0
USA,NVDA,11/3/21,129.4095902,130.3714121,127.2560959,129.8442841,29991600,0,0
USA,NVDA,12/3/21,126.3942114,128.7975314,125.8121213,128.4702606,24396400,0,0
USA,NVDA,15/3/21,128.5577141,131.9753252,127.5833885,131.8204346,22198800,0,0
USA,NVDA,16/3/21,133.4717736,135.0306822,131.0759403,132.8197327,27212800,0,0
USA,NVDA,17/3/21,130.3064868,134.4385951,129.8043352,133.3193817,24386400,0,0
USA,NVDA,18/3/21,131.2733016,131.7479609,127.0812228,127.1361847,29389600,0,0
USA,NVDA,19/3/21,127.4109925,129.1247916,126.0369524,128.3678284,29920800,0,0
USA,NVDA,22/3/21,129.0373555,133.8514972,128.9773999,131.7704468,29780400,0,0
USA,NVDA,23/3/21,132.4499981,133.3518799,130.1216223,130.6162872,22204800,0,0
USA,NVDA,24/3/21,131.4207001,131.5006461,126.2792947,126.3417511,24584000,0,0
USA,NVDA,25/3/21,124.9077508,127.0587446,122.6343373,125.2649994,29514400,0,0
USA,NVDA,26/3/21,125.4573559,128.4727512,123.6486219,128.3028717,36396800,0,0
USA,NVDA,29/3/21,128.113015,130.5338247,126.911355,129.3921204,27352000,0,0
USA,NVDA,30/3/21,128.3303621,129.6619363,126.9613232,128.627655,20020400,0,0
USA,NVDA,31/3/21,130.0641363,134.610963,129.7343649,133.3893127,31477600,0,0
USA,NVDA,1/4/21,135.6277553,138.60317,135.0181806,138.0210724,30827600,0,0
USA,NVDA,5/4/21,138.5781997,140.0421734,137.2341374,139.777359,25567200,0,0
USA,NVDA,6/4/21,139.8997612,140.4443788,137.6388437,138.5182343,19174400,0,0
USA,NVDA,7/4/21,138.7106198,142.3355905,137.0193114,141.3362885,25128400,0,0
USA,NVDA,8/4/21,142.4280302,144.6140036,142.3905655,143.0700836,24441600,0,0
USA,NVDA,9/4/21,142.0407729,143.9794211,141.6510458,143.8994751,19517200,0,0
USA,NVDA,12/4/21,142.7977675,153.4178369,141.293813,151.9838409,86932400,0,0
USA,NVDA,13/4/21,152.2086784,156.8904056,151.1519215,156.6855469,67621200,0,0
USA,NVDA,14/4/21,156.1409271,157.0952622,152.1686958,152.6633606,38550000,0,0
USA,NVDA,15/4/21,156.5156586,162.0293086,156.2058775,161.2598419,59848000,0,0
USA,NVDA,16/4/21,160.4179494,161.5446648,158.5417574,159.0139313,33520800,0,0
USA,NVDA,19/4/21,155.2565622,157.9646621,152.223677,153.5102692,40442000,0,0
USA,NVDA,20/4/21,153.1255258,154.8618159,149.5255474,151.6065826,33413200,0,0
USA,NVDA,21/4/21,151.081964,153.5177625,150.9170859,153.4977722,21677600,0,0
USA,NVDA,22/4/21,153.6426844,154.2772356,147.7318197,148.3988495,27778800,0,0
USA,NVDA,23/4/21,149.238257,153.2429671,148.898498,152.5459442,22750000,0,0
USA,NVDA,26/4/21,151.744004,154.6819388,151.1444167,154.6719513,19779600,0,0
USA,NVDA,27/4/21,155.6762696,156.5956256,153.4378275,153.710144,16457200,0,0
USA,NVDA,28/4/21,153.537748,155.2140672,152.0487827,152.6608582,20941600,0,0
USA,NVDA,29/4/21,153.8924953,154.257246,150.6097849,153.1405182,17319600,0,0
USA,NVDA,30/4/21,151.6390766,153.5427457,149.8653216,149.9902344,20191200,0,0
USA,NVDA,3/5/21,151.1444421,152.3610912,147.7717976,148.2639465,20391200,0,0
USA,NVDA,4/5/21,146.2703273,146.272828,140.0046996,143.412323,40532400,0,0
USA,NVDA,5/5/21,146.9873107,148.0315793,143.7745588,144.4840698,29202400,0,0
USA,NVDA,6/5/21,144.8513289,145.610793,142.0807573,145.1286316,19338000,0,0
USA,NVDA,7/5/21,147.9791234,149.6029889,146.6150708,148.0190887,22932800,0,0
USA,NVDA,10/5/21,147.7692627,147.9566318,142.4005158,142.5579071,26890400,0,0
USA,NVDA,11/5/21,138.1535055,143.4473086,137.4040289,142.9626465,28558400,0,0
USA,NVDA,12/5/21,139.9972103,142.5029521,136.9968037,137.4889679,30340800,0,0
USA,NVDA,13/5/21,140.2395234,140.7091965,134.4960382,136.5570984,28540400,0,0
USA,NVDA,14/5/21,138.8030467,143.1799945,137.389041,142.3305817,25861600,0,0
USA,NVDA,17/5/21,141.4711897,141.5936017,138.4383045,141.5561218,21698000,0,0
USA,NVDA,18/5/21,142.5704049,143.9419444,139.942236,140.0596619,18625600,0,0
USA,NVDA,19/5/21,135.5703029,140.6967272,135.337967,140.5593262,34400000,0,0
USA,NVDA,20/5/21,142.9251529,146.7349915,142.6053842,146.022995,32159200,0,0
USA,NVDA,21/5/21,151.5316516,152.1137493,148.5912159,149.812851,67299200,0,0
USA,NVDA,24/5/21,152.0188104,157.3400903,151.6540597,156.0110168,55481600,0,0
USA,NVDA,25/5/21,157.5499558,158.0745833,154.716928,156.3682709,43540800,0,0
USA,NVDA,26/5/21,157.2326711,157.827257,155.7537084,156.8904114,37044000,0,0
USA,NVDA,27/5/21,156.887911,157.3900627,154.492093,154.7718964,58147600,0,0
USA,NVDA,28/5/21,154.9017816,162.6613602,154.9017816,162.331604,64453600,0,0
USA,NVDA,1/6/21,162.5864332,163.7681182,158.9214973,162.5314789,47280400,0,0
